,A0,A1,A2,A3,A4,B0,B1,B2,B3,B4,C0,C1,C2,C3,C4,D0,D1,D2,D3,D4,E0,E1,E2,E3,E4
12,80.45640091669176,68.25729922971206,70.05768343569693,80.53702009096085,70.81401718119469,58.15892735809235,83.90497662461307,83.9860834632586,82.19454557056598,73.82448681955113,60.0322881540709,89.11790677636577,84.82038998080046,84.96363689975914,78.02309083736785,68.95431416288095,87.7212661719633,84.14346381430009,86.24304462051411,74.72459491428542,67.90801155658143,74.20951823929894,72.2774721504388,75.14948401184107,66.22603976718453
13,72.0919728634209,74.41263643557184,68.99391769379581,76.2892619317476,64.59544810195392,73.08624071117526,78.76424676809127,81.99068751412018,82.0926524324363,79.63695319937555,63.56625592236402,86.2143743525023,83.67340913326278,82.56143818494687,70.63203729429843,71.89662659433908,84.81136240616756,86.58761797391416,96.34453954844862,78.3906934358536,70.95473724599066,68.01324634520698,71.61157890082681,68.3221502920621,77.56622622815681
14,76.92586446457314,67.86180807910847,76.817825816005,72.83309861114246,79.64527864987278,67.48938134043688,91.82832508126774,83.66941159141646,81.08496158371864,80.98977233605682,63.227259421250324,87.99624652322292,82.52639199699425,87.38566985427286,66.2254537093824,68.53407174618636,81.14697435817492,89.15653813777986,81.22694873567649,84.25406926686541,61.67036635310345,71.90444573091041,69.24568277592127,75.70032375072618,64.58637466703128
15,63.98843662409168,65.11251106079436,83.83413525317553,76.9033017600765,67.6391303290353,68.35368281492876,81.46663706733891,84.68262385073636,86.68389724821036,73.71770829377775,62.90194009298439,82.63585576196962,92.90213937776467,84.75840100845824,76.83422783838948,70.3187112860848,89.43582565749668,81.06741436565636,92.14133329219307,74.68451667115049,71.04751194223353,76.81939204843046,69.68828500964709,75.46206283067073,73.54276714232579
16,74.12729935863914,72.63125443274836,77.48556892333231,69.52156947567242,73.5330440133304,66.5041806727213,85.82127893804662,84.86425415796693,85.41319965169296,76.59653787164304,60.211852348871744,82.79198759907034,91.15814409361705,80.27066130907359,76.67804517267474,70.6213046339727,85.68795974732876,84.15558703634176,90.33739122170915,81.59407441273427,66.41245227314045,65.44964243921315,68.9365952947222,73.29565591126052,61.54878590582162
17,74.23400011616359,72.78274224382454,75.72721638391685,66.98870679731753,74.17316407572622,69.96065844815757,80.84842895836469,85.13355902327508,83.9165320302737,73.92066199790439,61.924978476757985,83.6367152773886,84.99361102167981,88.6914926337978,65.62297759422013,63.15271449732998,82.0965042118482,90.55911271733264,82.66775256074254,80.7198577922426,66.91312581811,72.98896612816212,84.56113233233678,73.26906252401363,76.99585130639181
18,75.39531938787552,68.01857589759567,79.88993946803136,63.90347821522211,71.8185042708113,61.9081198308942,80.91807398776383,86.81389939803746,87.08233815593681,71.63147808415391,66.161804019242,83.38411663609564,89.11616575296883,85.68406872656668,71.68281776946324,58.41962807681087,88.05571844077294,84.54651968876743,85.65966190691142,85.17698704915648,72.91759302406881,76.61497946874918,73.99864828782135,68.38424396727702,68.43152084406952
19,71.7194390727263,72.67975958270816,70.5441025190203,74.38869965783628,75.20528702319531,60.655648969950846,83.82971641303746,79.74396615954069,71.18183906077309,68.58557209299632,63.80192539738987,78.35951804371733,85.18969907080039,84.08236581186459,76.6951513991447,58.21940316188357,84.97098443071836,85.41634902893912,80.61797425492365,67.64421016978874,69.04208801152059,78.18407246215968,69.18360921088042,77.56742554376912,72.09703223886119
20,68.52547857230623,78.10873165377616,73.38765394274907,81.93055425764821,76.34659325976781,71.01041293985242,86.26872437078814,80.50344936411439,89.27518590580294,77.46497298590747,61.03830511137754,80.30185101197752,79.65854005559015,82.86998442426845,68.35730852850668,66.41066204896862,84.27960179864237,92.76379612032832,85.92753280752326,71.93146913836758,75.94468037373036,67.12300909332124,72.21895537159581,66.92864152119816,72.47190223493384
21,81.63802978476225,65.00337720643469,74.75199207986431,63.95159697149793,69.65500645480016,68.95941494466092,90.3306294208447,87.11262553255918,77.10381993825898,73.13749542147966,67.70909686249166,86.11587339273372,83.17000730206908,81.51194946771007,73.86750959757691,62.8176525495524,84.25425386960302,79.83081850560976,85.56419639992774,71.66513186948339,71.58561745347765,76.94898694989337,76.70831202401786,68.24060316809387,70.23527468037977
